dog_id,asc_peak_slopes_A,asc_peak_slopes_C,avg_pres_A,avg_pres_C,contact_durations_A,contact_durations_C,des_peak_slopes_A,des_peak_slopes_C,impulses_A,impulses_C,pace,paw_area_A,paw_area_C,ratio_pres2area_A,ratio_pres2area_C,std_asc_peak_slopes_A,std_asc_peak_slopes_C,std_avg_pres_A,std_avg_pres_C,std_contact_durations_A,std_contact_durations_C,std_des_peak_slopes_A,std_des_peak_slopes_C,std_impulses_A,std_impulses_C,std_paw_area_A,std_paw_area_C,std_ratio_pres2area_A,std_ratio_pres2area_C,std_step_lengths_A,std_step_lengths_C,std_vert_forces_A,std_vert_forces_C,step_lengths_A,step_lengths_C,steps_A,steps_C,vert_forces_A,vert_forces_C,Alter,Gewicht,sex,neutered,Rückenlänge,Schulterhöhe,BCS,target
T0000007,0.907,0.762,3.576,2.886,0.13,0.14,1.043,0.66,9.967,5.861,5.49,18.496,12.611,0.206,0.233,0.135,0.133,0.42,0.349,0.011,0.017,0.225,0.167,3.106,1.653,4.787,2.883,0.201,0.16,0.022,0.017,21.412,10.494,0.306,0.298,15.0,15.0,72.6,40.43,5,9.1,0,1,37.0,30.0,6.0,0
T0000008,0.637,0.756,3.716,3.792,0.22,0.185,0.83,0.637,25.098,16.772,5.12,26.042,21.029,0.144,0.176,0.224,0.501,0.268,0.289,0.067,0.018,0.247,0.199,5.409,2.441,2.08,1.249,0.013,0.016,0.046,0.16,14.316,7.565,0.434,0.424,10.0,9.0,106.2,85.717,3,15.0,0,1,51.0,44.0,5.0,0
T0000008,0.79,0.699,3.775,3.93,0.2,0.188,1.633,1.425,18.023,21.562,4.26,19.659,26.463,0.174,0.142,6.354,3.378,0.388,0.383,0.072,0.022,6.117,5.655,8.448,6.28,4.366,5.612,0.041,0.024,0.321,0.192,17.572,33.46,0.244,0.373,5.0,6.0,83.829,111.419,3,15.0,0,1,51.0,44.0,5.0,0
T0000008,0.705,1.0,3.972,3.822,0.195,0.18,0.919,0.919,25.57,17.19,5.3,28.99,20.66,0.143,0.185,0.269,0.795,0.308,0.306,0.03,0.058,0.179,0.334,2.011,2.771,2.219,1.787,0.019,0.011,0.032,0.04,11.115,12.365,0.466,0.473,9.0,9.0,126.58,92.921,3,15.0,0,1,51.0,44.0,5.0,0
T0000009,1.281,0.964,4.479,3.04,0.16,0.13,1.642,1.083,15.749,6.138,5.37,17.498,14.132,0.246,0.212,0.272,0.111,0.304,0.502,0.02,0.016,0.296,0.275,2.403,1.861,2.34,3.465,0.046,0.074,0.023,0.028,13.838,13.154,0.351,0.332,12.0,13.0,89.202,48.275,3,11.0,1,0,41.0,38.0,5.0,1
T0000009,1.048,0.908,4.352,3.119,0.18,0.14,1.36,0.896,15.972,6.934,5.01,17.598,13.59,0.255,0.227,0.143,0.086,0.286,0.154,0.009,0.011,0.271,0.1,1.017,0.429,0.965,0.737,0.026,0.02,0.015,0.014,3.979,2.084,0.343,0.331,12.0,12.0,86.69,47.818,3,11.0,1,0,41.0,38.0,5.0,1
T0000009,1.062,0.777,4.295,2.867,0.17,0.14,1.356,0.832,15.402,6.722,4.57,17.047,13.852,0.252,0.208,0.175,0.191,0.253,0.309,0.019,0.014,0.68,0.194,3.122,1.173,3.625,1.665,0.119,0.026,0.08,0.034,18.574,8.48,0.325,0.313,13.0,14.0,83.765,45.514,3,11.0,1,0,41.0,38.0,5.0,1
T0000009,0.976,0.856,4.431,2.967,0.18,0.143,1.683,0.958,15.802,6.629,4.77,17.755,13.725,0.248,0.212,0.18,0.151,0.544,0.296,0.019,0.012,0.394,0.209,3.302,0.917,2.463,0.961,0.045,0.029,0.026,0.024,15.975,4.505,0.329,0.333,13.0,12.0,85.417,46.232,3,11.0,1,0,41.0,38.0,5.0,1
T0000009,1.025,0.804,4.402,2.892,0.185,0.152,1.47,0.896,15.724,6.686,4.47,17.76,13.465,0.242,0.21,0.133,0.126,0.317,0.249,0.014,0.011,0.434,0.185,1.522,1.0,1.123,2.106,0.027,0.089,0.023,0.03,6.201,5.575,0.314,0.297,14.0,14.0,86.197,43.238,3,11.0,1,0,41.0,38.0,5.0,1
T0000009,0.974,0.85,4.37,3.033,0.19,0.145,1.126,0.844,16.343,7.086,4.6,17.182,14.182,0.255,0.217,0.212,0.18,0.265,0.263,0.013,0.01,0.295,0.157,1.091,0.438,1.701,0.935,0.035,0.032,0.02,0.031,8.206,3.127,0.325,0.316,14.0,13.0,85.374,46.897,3,11.0,1,0,41.0,38.0,5.0,1
T0000010,0.827,1.085,3.9,3.5,0.225,0.17,0.958,0.928,30.156,16.099,6.06,30.374,23.014,0.13,0.161,0.195,0.151,0.793,0.575,0.026,0.021,0.271,0.218,9.449,4.663,9.149,5.237,0.173,0.047,0.045,0.046,41.437,25.109,0.491,0.481,9.0,9.0,134.289,90.042,2,21.0,0,1,58.0,55.0,4.0,0
T0000010,0.867,0.86,3.881,3.599,0.24,0.17,0.742,1.012,32.48,16.979,5.81,30.936,23.281,0.129,0.156,0.178,0.085,0.214,0.195,0.024,0.008,0.211,0.101,1.953,1.157,1.213,1.333,0.006,0.011,0.026,0.035,11.06,5.295,0.495,0.496,9.0,9.0,132.57,97.021,2,21.0,0,1,58.0,55.0,4.0,0
T0000010,0.824,0.912,3.971,3.655,0.245,0.19,0.863,0.839,33.524,18.42,5.56,30.555,23.223,0.131,0.163,0.125,0.189,0.134,0.667,0.012,0.026,0.223,0.205,2.643,5.732,0.826,6.453,0.005,0.125,0.023,0.04,5.458,28.119,0.483,0.472,8.0,9.0,133.19,92.6,2,21.0,0,1,58.0,55.0,4.0,0
T0000010,0.962,1.012,3.822,3.665,0.245,0.18,0.764,0.958,33.959,16.123,5.53,30.251,21.795,0.125,0.168,0.191,0.149,0.353,0.174,0.012,0.023,0.159,0.298,2.31,1.602,1.192,1.959,0.015,0.016,0.033,0.043,8.5,9.533,0.482,0.5,9.0,9.0,131.398,87.673,2,21.0,0,1,58.0,55.0,4.0,0
T0000010,0.831,0.958,3.995,3.725,0.23,0.185,1.041,0.975,33.158,17.535,5.76,31.2,23.55,0.129,0.159,0.196,0.273,0.138,0.209,0.072,0.114,0.237,0.135,6.886,11.975,3.632,2.746,0.016,0.036,0.027,0.191,18.502,8.515,0.51,0.522,7.0,7.0,136.952,94.763,2,21.0,0,1,58.0,55.0,4.0,0
T0000010,0.867,1.128,3.93,3.839,0.24,0.17,0.892,1.135,32.529,17.431,5.85,30.643,23.368,0.129,0.162,0.217,0.183,0.272,0.28,0.016,0.012,0.133,0.278,1.922,1.44,0.929,1.675,0.008,0.018,0.04,0.043,12.365,9.492,0.508,0.504,9.0,9.0,133.846,98.502,2,21.0,0,1,58.0,55.0,4.0,0
T0000011,0.967,0.802,4.616,3.648,0.22,0.198,1.422,0.851,32.037,18.596,6.35,29.334,23.566,0.159,0.146,0.207,0.096,0.093,0.448,0.015,0.034,0.331,0.209,3.462,1.793,2.947,1.858,0.017,0.021,0.033,0.055,15.573,14.623,0.593,0.544,7.0,8.0,149.008,92.146,2,21.0,1,0,65.0,61.0,4.0,0
T0000011,1.136,0.818,4.561,3.815,0.21,0.195,1.906,0.928,30.96,18.85,6.73,28.38,24.276,0.159,0.155,0.195,0.1,0.237,0.638,0.013,0.015,0.37,0.282,2.639,6.304,2.073,7.53,0.014,0.185,0.046,0.038,15.08,31.457,0.576,0.61,8.0,8.0,144.138,96.678,2,21.0,1,0,65.0,61.0,4.0,0
T0000011,1.042,0.832,4.533,3.458,0.23,0.205,1.484,0.719,34.498,18.793,6.02,29.499,22.863,0.154,0.146,0.193,0.102,0.342,0.465,0.02,0.031,0.409,0.248,5.128,6.062,1.864,5.611,0.011,0.052,0.037,0.046,16.442,26.618,0.562,0.568,7.0,7.0,151.759,88.815,2,21.0,1,0,65.0,61.0,4.0,0
T0000011,1.144,0.79,4.373,3.724,0.21,0.19,1.163,0.953,30.97,19.773,6.1,28.526,25.069,0.154,0.152,0.311,0.145,0.238,0.183,0.055,0.02,0.299,0.156,8.851,3.194,5.554,1.876,0.06,0.01,0.076,0.071,31.325,11.406,0.593,0.573,8.0,8.0,135.496,101.915,2,21.0,1,0,65.0,61.0,4.0,0
T0000011,0.923,1.248,3.828,4.844,0.18,0.175,1.269,1.917,18.118,28.831,7.01,23.335,30.766,0.163,0.153,4.606,6.38,0.514,0.864,0.05,0.065,2.11,0.686,6.695,11.179,7.217,9.16,0.061,0.064,0.295,0.203,37.489,62.373,0.631,0.625,7.0,7.0,95.433,160.17,2,21.0,1,0,65.0,61.0,4.0,0
